Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,101086,87445,51503
Liabilities,,,
Total Liabilities,90,72,65
Stockholders' Equity,,,
Common Stock,13855,10618,7448
Total stockholders' equity,100996,87373,51438
Total liabilities and stockholders' equity,101086,87445,51503
