Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,41557118,41557118,-3465822,8329469,6017877
Depreciation & amortization,2562645,2562645,1651975,-,-
Change in working capital,-108641900,-108641900,65234651,-,-
Other working capital,-53954849,-53954849,82577897,-1814001,24112663
Other non-cash items,-5810564,-5810564,-30950634,-,-
Net cash provided by operating activites,-48431593,-48431593,86265853,-884195,25013196
Investments in property plant and equipment,-5523256,-5523256,-3687956,-929806,-900533
Acquisitions net,-,-,-770472,-,-
Purchases of investments,0,0,-770472,-,0
Sales/Maturities of investments,-,-,-,181006,0
Other investing activites,-,-,508739,-998713,-578598
Net cash used for investing activites,-1907831,-1907831,-2206775,-1747513,-1479131
Debt repayment,-16318721,-16318721,-20982966,-2134901,-386591
Common stock issued,-,-,0,11004383,-
Dividends Paid,-2000000,-2000000,-1616849,-240000,-150000
Other financing activites,102410,102410,-45510,-86908,-42606
Net cash used privided by (used for) financing activities,-9469770,-9469770,10397268,10712644,2663970
Net change in cash,6131201,6131201,139287961,13229784,30112400
Cash at beginning of period,225858938,225858938,131958216,73087665,42975265
Cash at end of period,231990139,231990139,225868453,86317449,73087665
Operating Cash Flow,-48431593,-48431593,86265853,-884195,25013196
Capital Expenditure,-5523256,-5523256,-3687956,-929806,-900533
Free Cash Flow,-53954849,-53954849,82577897,-1814001,24112663
