Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,11082990,11082990,9535961
Cost of Revenue,6630583,6630583,5940301
Gross Profit,4452407,4452407,3595659
Total Operating Expenses,2956346,2956346,2630356
Operating Income or Loss,1496061,1496061,965303
Interest Expense,17226,17226,20068
Income Before Tax,1470349,1470349,986359
Income Tax Expense,447450,447450,261003
Income from Continuing Operations,1022899,1022899,725356
Net Income,1022898,1022898,725356
Net Income available to common shareholders,1022898,1022898,725356
Basic EPS,-,-,190.48
Diluted EPS,-,-,190.48
Basic Average Shares,-,-,3808
Diluted Average Shares,-,-,3808
