Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,813000,3188000,2418000,2828000
Depreciation & amortization,-,7277000,6797000,6320000
Change in working capital,-,-468000,391000,-549000
Inventory,-,-279000,-227000,-231000
Other working capital,-,-725000,2073000,-6869000
Other non-cash items,-,87000,27000,-302000
Net cash provided by operating activites,-,9572000,9938000,8000000
Investments in property plant and equipment,-,-10297000,-7865000,-14869000
Acquisitions net,-,-,-558000,-
Purchases of investments,-,-243000,-773000,-193000
Sales/Maturities of investments,-,285000,402000,225000
Other investing activites,-,-266000,-308000,-128000
Net cash used for investing activites,-,-10305000,-9028000,-14947000
Net change in cash,-,498000,2314000,813000
Cash at beginning of period,-,7788000,5473000,4660000
Cash at end of period,-,8329000,7788000,5473000
Operating Cash Flow,-,9572000,9938000,8000000
Capital Expenditure,-,-10297000,-7865000,-14869000
Free Cash Flow,-,-725000,2073000,-6869000
