Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-17.52,-26.034,-509.12,-1419,-250
Net cash used for investing activites,203.97,-26.034,-230.095,-1419,-250
Debt repayment,-,-8.086,-,-,-
Common stock issued,-,1396,1898,3218,4640
Common stock repurchased,-,-44.481,-113.85,-87.943,-232
Net cash used privided by (used for) financing activities,-,1383,1784,3130,4408
Net change in cash,257.983,-988.186,-289.702,-1767,3045
Cash at beginning of period,197.951,1553,1842,3613,564.733
Cash at end of period,455.934,564.618,1553,1842,3613
Capital Expenditure,-17.52,-26.034,-509.12,-1419,-250
Free Cash Flow,-1790,-2372,-2352,-4898,-1363
