Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1407000,2735000,4031000,2040000
Depreciation & amortization,-,650000,361000,440000
Stock based compensation,-,102000,104000,152000
Change in working capital,-,4356000,-1350000,-1483000
Inventory,-,965000,-98000,-256000
Other working capital,-,7191000,3698000,2354000
Other non-cash items,-,2000,-,-36000
Net cash provided by operating activites,-,7940000,4453000,3055000
Investments in property plant and equipment,-,-749000,-755000,-701000
Acquisitions net,-,-,-3000000,-
Purchases of investments,-,-211000,-163000,-370000
Sales/Maturities of investments,-,28000,78000,0
Other investing activites,-,-16000,-,-36000
Net cash used for investing activites,-,-948000,-3837000,-1107000
Net change in cash,-,5989000,-147000,192000
Cash at beginning of period,-,11458000,11605000,11412000
Cash at end of period,-,17447000,11458000,11605000
Operating Cash Flow,-,7940000,4453000,3055000
Capital Expenditure,-,-749000,-755000,-701000
Free Cash Flow,-,7191000,3698000,2354000
