Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10963000,11798000,11004000,9927000
Depreciation & amortization,-,10043000,8645000,6335000
Change in working capital,-,2674000,-78000,-1439000
Inventory,-,-59000,-355000,-533000
Other working capital,-,1629000,-4597000,-8924000
Other non-cash items,-,-1101000,334000,2190000
Net cash provided by operating activites,-,22970000,18613000,15805000
Investments in property plant and equipment,-,-21341000,-23210000,-24729000
Acquisitions net,-,-,-8127000,-
Sales/Maturities of investments,-,-,522000,-
Other investing activites,-,-1110000,-466000,-901000
Net cash used for investing activites,-,-16431000,-30805000,-23267000
Net change in cash,-,824000,-7456000,17621000
Cash at beginning of period,-,14869000,22326000,4704000
Cash at end of period,-,15693000,14869000,22326000
Operating Cash Flow,-,22970000,18613000,15805000
Capital Expenditure,-,-21341000,-23210000,-24729000
Free Cash Flow,-,1629000,-4597000,-8924000
