Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1949889,1683429,1641565,1650547
Liabilities,,,,
Total Liabilities,1044009,764258,719960,732040
Stockholders' Equity,,,,
Common Stock,423,423,423,422
Retained Earnings,-83335,-73690,-13319,-11847
Total stockholders' equity,905880,919171,921605,918507
Total liabilities and stockholders' equity,1949889,1683429,1641565,1650547
