Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1355424,1469955,1249385,1165363
Depreciation & amortization,-,100517,122563,88129
Change in working capital,-,-16581,196808,-371646
Inventory,-,135239,-53631,84711
Other working capital,-,1556697,1430320,655118
Other non-cash items,-,5814,-58604,97684
Net cash provided by operating activites,-,1576666,1438088,939410
Investments in property plant and equipment,-,-19969,-7768,-284292
Purchases of investments,-,-23689,-40289,-156470
Sales/Maturities of investments,-,-,103981,-
Other investing activites,-,-34830,-20677,9637
Net cash used for investing activites,-,-8162,74524,-404127
Net change in cash,-,1212540,1046272,276556
Cash at beginning of period,-,6604192,5557919,5281362
Cash at end of period,-,7816732,6604192,5557919
Operating Cash Flow,-,1576666,1438088,939410
Capital Expenditure,-,-19969,-7768,-284292
Free Cash Flow,-,1556697,1430320,655118
