Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-,-,-0.875,-
Purchases of investments,-,-,-200,-,-
Other investing activites,-,-,-,-,0
Net cash used for investing activites,-,-,-200,-0.875,5.582
Debt repayment,-,-,-,-,-2767
Common stock issued,-,-,-,28.5,6492
Common stock repurchased,-,-,-,-237.948,-
Other financing activites,-,-,-,99.349,-2767
Net cash used privided by (used for) financing activities,-,-,-,-110.099,3725
Net change in cash,-518.537,-453.633,-870.585,-958.43,3420
Cash at beginning of period,1408,1652,2522,3481,60.546
Cash at end of period,889.272,1198,1652,2522,3481
Capital Expenditure,-,-,-,-0.875,-
Free Cash Flow,-518.537,-453.633,-670.585,-848.331,-309.739
