Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,1197573,1065791,786212
Liabilities,,,
Total Liabilities,1021586,899185,691838
Stockholders' Equity,,,
Common Stock,2520,2517,1441
Retained Earnings,112710,101097,87300
Total stockholders' equity,175638,166772,94368
Total liabilities and stockholders' equity,1197573,1065791,786212
