Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,214813,198793,284175,220434
Depreciation & amortization,-,539205,419910,368467
Change in working capital,-,337983,-314986,65530
Inventory,-,-65268,-85565,36596
Other working capital,-,720222,-1512577,162965
Other non-cash items,-,11122,11072,-63444
Net cash provided by operating activites,-,1234441,444456,613139
Investments in property plant and equipment,-,-514219,-1957033,-450174
Purchases of investments,-,-2351816,-275625,-367105
Sales/Maturities of investments,-,2186999,580358,703721
Other investing activites,-,-,-16,49988
Net cash used for investing activites,-,-638086,-1629617,-61211
Net change in cash,-,931546,-1369078,1620212
Cash at beginning of period,-,3181619,4550697,2930485
Cash at end of period,-,4113166,3181619,4550697
Operating Cash Flow,-,1234441,444456,613139
Capital Expenditure,-,-514219,-1957033,-450174
Free Cash Flow,-,720222,-1512577,162965
