Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,845922748,723417650,539059522
Liabilities,,,
Total Liabilities,785159604,663252922,496165210
Stockholders' Equity,,,
Common Stock,17678979,16678979,6781616
Retained Earnings,3570852,13160018,8686628
Total stockholders' equity,56777412,56230555,39035430
Total liabilities and stockholders' equity,845922748,723417650,539059522
