Breakdown,ttm,12/31/2019,12/31/2018
Investments in property plant and equipment,-9998,-9998,-7549
Purchases of investments,-2955,-2955,-
Net cash used for investing activites,-9998,-9998,-7549
Debt repayment,-15544,-15544,-19838
Common stock issued,6511,6511,71768
Common stock repurchased,-151.9028,-151.9028,-7415
Other financing activites,-5881,-5881,-
Net cash used privided by (used for) financing activities,53259,53259,65838
Net change in cash,-5146,-5146,10215
Cash at beginning of period,13820,13820,3767
Cash at end of period,8687,8687,13990
Capital Expenditure,-9998,-9998,-7549
Free Cash Flow,-58404,-58404,-55623
