Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,1339541,1339541,1322265,1273627,1189992
Interest Expense,600083,600083,409933,232583,169909
Income Before Tax,787636,787636,673463,575264,657447
Income Tax Expense,198710,198710,168121,188055,261123
Income from Continuing Operations,588926,588926,505342,387209,396324
Net Income,588926,588926,505342,387209,396324
Net Income available to common shareholders,587013,587013,504428,387209,396324
Basic EPS,-,-,9.27,7.17,7.42
Diluted EPS,-,-,9.23,7.12,7.37
Basic Average Shares,-,-,54406,54001,53406
Diluted Average Shares,-,-,54666,54418,53811
