Breakdown,3/31/2019,3/31/2018
Total Assets,11630112000,3538460000
Liabilities,,
Total Liabilities,11156593000,3406523000
Stockholders' Equity,,
Common Stock,0,0
Retained Earnings,133654000,72054000
Total stockholders' equity,470938000,131937000
Total liabilities and stockholders' equity,11630112000,3538460000
