Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,981137000,942624000,897326000,914869000
Liabilities,,,,
Total Liabilities,920343000,883241000,838251000,856942000
Stockholders' Equity,,,,
Common Stock,26490000,27205000,29088000,28765000
Retained Earnings,32664000,31715000,29834000,27975000
Accumulated other comprehensive income,1629000,323000,37000,1078000
Total stockholders' equity,60783000,59243000,58959000,57818000
Total liabilities and stockholders' equity,981137000,942624000,897326000,914869000
