Breakdown,ttm,8/31/2019,8/31/2018,8/31/2017
Net Income,6470991,6470991,5240529,5169591
Depreciation & amortization,1417780,1417780,1312555,1208640
Change in working capital,6954703,6954703,-104668,-625650
Other working capital,-16105372,-16105372,-8991359,-6452766
Other non-cash items,568480,568480,487314,403881
Net cash provided by operating activites,14887036,14887036,6464129,5765867
Investments in property plant and equipment,-30992408,-30992408,-15455488,-12218633
Purchases of investments,-1318430,-1318430,-61275,-119201
Sales/Maturities of investments,250319,250319,173892,210684
Other investing activites,-,-,-,91600
Net cash used for investing activites,-32060520,-32060520,-15342871,-12127033
Net change in cash,1148780,1148780,1037922,36014
Cash at beginning of period,18042766,18042766,15735887,15141029
Cash at end of period,19191547,19191547,16773810,15177042
Operating Cash Flow,14887036,14887036,6464129,5765867
Capital Expenditure,-30992408,-30992408,-15455488,-12218633
Free Cash Flow,-16105372,-16105372,-8991359,-6452766
