Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-442.939,-340.323,-96.477,-66.726,-79.623
Net cash used for investing activites,-442.939,-340.323,-96.477,-66.726,-79.623
Debt repayment,-6653,-5649,-2287,-,-755.005
Common stock issued,-,1303,24795,5361,6167
Common stock repurchased,-,-,-1320,-374.14,-731.039
Net cash used privided by (used for) financing activities,5897,1775,23678,4987,4681
Net change in cash,-6399,-8882,18806,670.146,704.4
Cash at beginning of period,16116,20333,1498,801.368,115.815
Cash at end of period,9717,11442,20333,1498,801.368
Capital Expenditure,-442.939,-340.323,-96.477,-66.726,-79.623
Free Cash Flow,-12296,-10657,-4872,-4317,-3976
