Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,746776,746776,515751,297647,243492
Interest Expense,99568,99568,47550,15783,9340
Income Before Tax,294296,294296,197459,109275,64251
Income Tax Expense,67698,67698,41024,53480,21910
Income from Continuing Operations,226598,226598,156435,55795,42341
Net Income,225396,225396,156435,55795,42341
Net Income available to common shareholders,225308,225308,156319,55675,42178
Basic EPS,-,-,1.78,0.97,0.89
Diluted EPS,-,-,1.76,0.95,0.87
Basic Average Shares,-,-,87641,57245,47454
Diluted Average Shares,-,-,88759,58341,48050
