Breakdown,ttm,12/31/2019
Total Revenue,62778,62778
Selling General and Administrative,579,579
Total Operating Expenses,579,579
Income Before Tax,62199,62199
Income from Continuing Operations,62199,62199
Net Income,62199,62199
Net Income available to common shareholders,62199,62199
