Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,125743000,113155000,92662000,94501000
Depreciation & amortization,-,17672000,14659000,14981000
Change in working capital,-,-83119000,12780000,29490000
Inventory,-,15638000,-8473000,573000
Other working capital,-,7651000,42069000,119137000
Other non-cash items,-,2438000,3242000,2622000
Net cash provided by operating activites,-,44203000,114034000,158892000
Investments in property plant and equipment,-,-36552000,-71965000,-39755000
Acquisitions net,-,-,-3483000,-
Purchases of investments,-,-40199000,-10724000,-6253000
Sales/Maturities of investments,-,30885000,10108000,5425000
Other investing activites,-,-6445000,-3313000,-362000
Net cash used for investing activites,-,-45302000,-71289000,-37884000
Net change in cash,-,-27083000,-9412000,29392000
Cash at beginning of period,-,184783000,194195000,164802000
Cash at end of period,-,157699000,184783000,194195000
Operating Cash Flow,-,44203000,114034000,158892000
Capital Expenditure,-,-36552000,-71965000,-39755000
Free Cash Flow,-,7651000,42069000,119137000
