Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Investments in property plant and equipment,-97645,-97645,-68208,-24336
Purchases of investments,-,-,-,3333
Other investing activites,687,687,-595,107
Net cash used for investing activites,-92100,-92100,-62894,-13901
Common stock issued,18629,18629,43853,25
Common stock repurchased,-2900,-2900,-853,-17
Dividends Paid,-5695,-5695,-2924,-825
Net cash used privided by (used for) financing activities,65401,65401,76909,1183
Net change in cash,-1914,-1914,-213,-11118
Cash at beginning of period,2665,2665,2878,13996
Cash at end of period,751,751,2665,2878
Capital Expenditure,-97645,-97645,-68208,-24336
Free Cash Flow,-72860,-72860,-82436,-22736
