Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,16324000,16605000,16317000,8049000
Depreciation & amortization,5967000,3274000,3145000,2885000
Change in working capital,6682000,-2147000,-24884000,-5109000
Inventory,3157000,-1132000,-13729000,200000
Other working capital,29802000,21151000,-2246000,7059000
Other non-cash items,1762000,1535000,1696000,2767000
Net cash provided by operating activites,35513000,24698000,434000,11852000
Investments in property plant and equipment,-5711000,-3547000,-2680000,-4793000
Acquisitions net,-549000,-1729000,-384000,-12792000
Purchases of investments,-3199000,-3109000,-117000,-986000
Sales/Maturities of investments,1687000,1505000,1302000,733000
Other investing activites,-1827000,-372000,309000,-394000
Net cash used for investing activites,-10356000,-6575000,1103000,-14691000
Net change in cash,5591000,10964000,694000,-9743000
Cash at beginning of period,74667000,77731000,77566000,87466000
Cash at end of period,80260000,88941000,77731000,77566000
Operating Cash Flow,35513000,24698000,434000,11852000
Capital Expenditure,-5711000,-3547000,-2680000,-4793000
Free Cash Flow,29802000,21151000,-2246000,7059000
