Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,426069,399508,365860,337178
Liabilities,,,,
Total Liabilities,176739,162416,146210,135971
Stockholders' Equity,,,,
Common Stock,30,29,26,23
Retained Earnings,-83069,-68592,-69447,-66807
Accumulated other comprehensive income,-25744,-37421,-59177,-59687
Total stockholders' equity,249330,237092,219650,201207
Total liabilities and stockholders' equity,426069,399508,365860,337178
