Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1313,-937,-4192,-4421,-1582
Acquisitions net,-,-,-5531,-4958,-
Purchases of investments,-,-8000,10906,-18044,-
Net cash used for investing activites,-8462,-8012,2024,-26667,15213
Debt repayment,-4521,-8000,-,-,-
Common stock issued,-,-,-,188,1752
Common stock repurchased,-35,-28,-24,-20,-17
Dividends Paid,-13921,-13469,-11599,-11375,-13178
Net cash used privided by (used for) financing activities,-10147,-21497,-6623,-4207,-3443
Net change in cash,-1140,-6234,20473,-8395,23769
Cash at beginning of period,58396,60651,40328,48723,24954
Cash at end of period,57256,54434,60651,40328,48723
Capital Expenditure,-1313,-937,-4192,-4421,-1582
Free Cash Flow,16156,22338,20880,18058,10417
