Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-206.657,-260.945,-87.226
Other investing activites,-,-18.319,-
Net cash used for investing activites,-228.677,-279.264,-87.226
Common stock issued,-,-,6000
Common stock repurchased,-,-,-376.183
Net cash used privided by (used for) financing activities,-,-,6020
Net change in cash,-1258,-2038,4839
Cash at beginning of period,3865,5224,384.624
Cash at end of period,2608,3173,5224
Capital Expenditure,-206.657,-260.945,-87.226
Free Cash Flow,-1155,-2020,-1181
