Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,30000,30000,3000,40000,-266000
Depreciation & amortization,33000,33000,24000,22000,30000
Change in working capital,-308000,-308000,211000,-86000,-592000
Other working capital,-187000,-187000,329000,50000,-454000
Other non-cash items,46000,46000,20000,12000,420000
Net cash provided by operating activites,-151000,-151000,361000,70000,-426000
Investments in property plant and equipment,-36000,-36000,-32000,-20000,-28000
Purchases of investments,-319000,-319000,-872000,-,-
Sales/Maturities of investments,916000,916000,210000,-,-
Other investing activites,44000,44000,133000,90000,171000
Net cash used for investing activites,605000,605000,-561000,70000,143000
Net change in cash,435000,435000,-236000,436000,126000
Cash at beginning of period,796000,796000,1030000,600000,736000
Cash at end of period,1231000,1231000,796000,1030000,600000
Operating Cash Flow,-151000,-151000,361000,70000,-426000
Capital Expenditure,-36000,-36000,-32000,-20000,-28000
Free Cash Flow,-187000,-187000,329000,50000,-454000
