Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,444280,462901,322586,318169
Depreciation & amortization,-,81331,77084,77258
Change in working capital,-,-89926,203934,177797
Inventory,-,7939,-87867,96822
Other working capital,-,341812,569984,655084
Other non-cash items,-,21966,6124,-41315
Net cash provided by operating activites,-,411540,585604,684459
Investments in property plant and equipment,-,-69728,-15620,-29375
Purchases of investments,-,-3639067,-152194,-26500
Sales/Maturities of investments,-,4148118,92979,-
Other investing activites,-,-3333,-231063,-1577626
Net cash used for investing activites,-,438091,-305898,-1633501
Net change in cash,-,700143,57271,-1170685
Cash at beginning of period,-,1307825,1250554,2421239
Cash at end of period,-,2007969,1307825,1250554
Operating Cash Flow,-,411540,585604,684459
Capital Expenditure,-,-69728,-15620,-29375
Free Cash Flow,-,341812,569984,655084
