Breakdown,ttm,6/30/2019
Purchases of investments,-1084772,-693346
Sales/Maturities of investments,715640,411888
Other investing activites,-59153,-76803
Net cash used for investing activites,-428285,-358261
Common stock issued,-,284933
Common stock repurchased,-4433,-130
Dividends Paid,-67173,-63116
Other financing activites,15081,15001
Net cash used privided by (used for) financing activities,228408,236688
Net change in cash,-200510,-120850
Cash at beginning of period,345404,382816
Cash at end of period,144894,249676
Free Cash Flow,-633,723
