Breakdown,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Assets,458087,505353,471522,351051
Liabilities,,,,
Total Liabilities,17038,34066,25946,8836
Stockholders' Equity,,,,
Common Stock,385202,380682,376895,304595
Retained Earnings,-19137,-18764,-18764,-18764
Accumulated other comprehensive income,74984,109369,87445,56384
Total stockholders' equity,441049,471287,445576,342215
Total liabilities and stockholders' equity,458087,505353,471522,351051
