Breakdown,ttm,12/31/2019,12/31/2018
Investments in property plant and equipment,-5133,-5133,-5336
Net cash used for investing activites,-5133,-5133,-5336
Debt repayment,-356.837,-356.837,-6978
Common stock issued,675.1356,675.1356,58943
Common stock repurchased,-,-,-2495
Other financing activites,-256.9226,-256.9226,-18524
Net cash used privided by (used for) financing activities,4343,4343,33663
Net change in cash,-17200,-17200,23038
Cash at beginning of period,24963,24963,1627
Cash at end of period,7773,7773,24779
Capital Expenditure,-5133,-5133,-5336
Free Cash Flow,-21543,-21543,-10625
