Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-26095,-33676,-14126,-12150,-5448
Purchases of investments,-,-,-12500,-11500,-11500
Sales/Maturities of investments,-,-,12500,20000,3000
Other investing activites,1061,343.361,1663,-,-
Net cash used for investing activites,-25034,-33333,-12463,-3650,-13948
Common stock issued,37957,36871,33024,4755,8900
Common stock repurchased,-1328,-1297,-1452,-145.75,-376.5
Other financing activites,-,-,-,35,500
Net cash used privided by (used for) financing activities,36994,35574,31572,4644,9024
Net change in cash,5974,-2199,16399,2259,-5603
Cash at beginning of period,12042,20694,4296,2037,7640
Cash at end of period,18016,18495,20694,4296,2037
Capital Expenditure,-26095,-33676,-14126,-12150,-5448
Free Cash Flow,-32081,-38117,-16837,-10885,-6127
