Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1277358,1100613,807951,575711
Liabilities,,,,
Total Liabilities,1140324,979362,739150,529316
Stockholders' Equity,,,,
Common Stock,32397,32176,21442,16650
Retained Earnings,29097,15186,11686,7800
Accumulated other comprehensive income,423,-367,-19.547,-208.184
Total stockholders' equity,137034,121251,68801,46395
Total liabilities and stockholders' equity,1277358,1100613,807951,575711
