Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Net Income,19501000,19139000,18023000,15863000
Depreciation & amortization,4127000,4127000,3403000,3519000
Change in working capital,-4277000,-4277000,-3697000,567000
Inventory,-1020000,-1020000,-493000,-526000
Other working capital,15285000,15285000,16306000,19145000
Other non-cash items,354000,354000,884000,350000
Net cash provided by operating activites,20089000,20089000,20007000,22350000
Investments in property plant and equipment,-4804000,-4804000,-3701000,-3205000
Acquisitions net,-1054000,-1054000,-2461000,-
Purchases of investments,-53060000,-53060000,-55313000,-53651000
Sales/Maturities of investments,53301000,53301000,53545000,63984000
Other investing activites,-225000,-225000,-11000,-4000
Net cash used for investing activites,-5072000,-5072000,-8062000,7039000
Net change in cash,356000,356000,7228000,20365000
Cash at beginning of period,55916000,55916000,48688000,28322000
Cash at end of period,56272000,56272000,55916000,48688000
Operating Cash Flow,20089000,20089000,20007000,22350000
Capital Expenditure,-4804000,-4804000,-3701000,-3205000
Free Cash Flow,15285000,15285000,16306000,19145000
