Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1961590,1961590,1561921,1999532,1794470
Depreciation & amortization,1072419,1072419,977946,945221,901560
Change in working capital,-174787,-174787,-981688,-764069,24560
Inventory,96446,96446,-355378,-167183,375121
Other working capital,1763805,1763805,319511,634117,2292961
Other non-cash items,160396,160396,-21122,-188228,96939
Net cash provided by operating activites,3278337,3278337,1519942,1646016,2893823
Investments in property plant and equipment,-1514532,-1514532,-1200431,-1011899,-600862
Acquisitions net,-,-,-,-,-150000
Purchases of investments,-6032,-6032,-130933,-723520,-5507
Sales/Maturities of investments,2055,2055,53569,116451,80025
Other investing activites,-1041736,-1041736,317345,404508,-1002834
Net cash used for investing activites,-2311200,-2311200,-943462,-1213184,-1674239
Net change in cash,242263,242263,-8119,68457,543293
Cash at beginning of period,1421385,1421385,1429504,1361047,817753
Cash at end of period,1663648,1663648,1421385,1429504,1361047
Operating Cash Flow,3278337,3278337,1519942,1646016,2893823
Capital Expenditure,-1514532,-1514532,-1200431,-1011899,-600862
Free Cash Flow,1763805,1763805,319511,634117,2292961
