Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4875000,4634000,4786000,4985000
Depreciation & amortization,-,2142000,2061000,1961000
Change in working capital,-,-3447000,5758000,-4249000
Inventory,-,1010000,-2190000,-817000
Other working capital,-,6000,11078000,-31000
Other non-cash items,-,118000,-304000,-50000
Net cash provided by operating activites,-,2821000,12714000,2400000
Investments in property plant and equipment,-,-2815000,-1636000,-2431000
Acquisitions net,-,-,-1749000,-
Sales/Maturities of investments,-,67000,-,-
Other investing activites,-,966000,-592000,-698000
Net cash used for investing activites,-,-1650000,-3789000,-3118000
Net change in cash,-,-1087000,6148000,-3951000
Cash at beginning of period,-,31721000,25572000,29524000
Cash at end of period,-,30633000,31721000,25572000
Operating Cash Flow,-,2821000,12714000,2400000
Capital Expenditure,-,-2815000,-1636000,-2431000
Free Cash Flow,-,6000,11078000,-31000
