Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,23636000,23687000,16355000,5428000
Depreciation & amortization,-,27020000,25589000,24908000
Change in working capital,-,-11239000,-7803000,-1428000
Inventory,-,-6263000,-3162000,-1246000
Other working capital,-,42967000,33944000,29692000
Other non-cash items,-,2952000,275000,3013000
Net cash provided by operating activites,-,42967000,33944000,29692000
Acquisitions net,-,-258000,-,-
Sales/Maturities of investments,-,2536000,55000,91000
Other investing activites,-,-41007000,-26973000,-29046000
Net cash used for investing activites,-,-33581000,-26918000,-28806000
Net change in cash,-,7816000,7743000,-3849000
Cash at beginning of period,-,43837000,36094000,39944000
Cash at end of period,-,51654000,43837000,36094000
Operating Cash Flow,-,42967000,33944000,29692000
Free Cash Flow,-,42967000,33944000,29692000
