Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-745.425,-116.183
Purchases of investments,-,-127.51
Net cash used for investing activites,-767.733,-243.693
Debt repayment,-11.841,-11.509
Common stock issued,-,1935
Common stock repurchased,-69.06,-147.91
Net cash used privided by (used for) financing activities,3012,1776
Net change in cash,-2528,-5038
Cash at beginning of period,3351,6795
Cash at end of period,822.34,1880
Capital Expenditure,-745.425,-116.183
Free Cash Flow,-5518,-6686
