Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,132176,132176,120825,113196,101233
Interest Expense,21251,21251,14068,7510,5523
Income Before Tax,44581,44581,37697,35621,27912
Income Tax Expense,10381,10381,8816,16228,9161
Income from Continuing Operations,34200,34200,28881,19393,18751
Net Income,34200,34200,28881,19393,18751
Net Income available to common shareholders,34200,34200,28881,19393,18751
Basic EPS,-,-,2.47,1.68,1.71
Diluted EPS,-,-,2.46,1.66,1.70
Basic Average Shares,-,-,11680,11568,10966
Diluted Average Shares,-,-,11750,11652,11040
