Breakdown,ttm,3/31/2019,3/31/2018
Total Revenue,6441093,6441093,5581200
Cost of Revenue,4644574,4644574,4082743
Gross Profit,1796518,1796518,1498456
Total Operating Expenses,935913,935913,801595
Operating Income or Loss,860605,860605,696861
Interest Expense,34924,34924,32965
Income Before Tax,891646,891646,664429
Income Tax Expense,320035,320035,227509
Income from Continuing Operations,571611,571611,436920
Net Income,571611,571611,436919
Net Income available to common shareholders,571611,571611,436919
Basic EPS,-,-,159.77
Diluted EPS,-,-,159.77
Basic Average Shares,-,-,2735
Diluted Average Shares,-,-,2735
