Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1464000,2350000,1274000,2824000
Depreciation & amortization,-,3253000,3344000,3117000
Change in working capital,-,909000,-3591000,-1670000
Inventory,-,163000,-1427000,-1047000
Other working capital,-,3920000,-2402000,3798000
Other non-cash items,-,152000,172000,250000
Net cash provided by operating activites,-,7345000,937000,5341000
Investments in property plant and equipment,-,-3425000,-3339000,-1543000
Purchases of investments,-,-411000,-2060000,-575000
Sales/Maturities of investments,-,374000,475000,390000
Other investing activites,-,-89000,-228000,-121000
Net cash used for investing activites,-,-3532000,-4673000,-1814000
Net change in cash,-,3227000,-5238000,4014000
Cash at beginning of period,-,8930000,14169000,10154000
Cash at end of period,-,12158000,8930000,14169000
Operating Cash Flow,-,7345000,937000,5341000
Capital Expenditure,-,-3425000,-3339000,-1543000
Free Cash Flow,-,3920000,-2402000,3798000
