Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-2723,-2936,-3367
Purchases of investments,-,-,-25
Sales/Maturities of investments,-,-,15
Other investing activites,-,40.455,-25
Net cash used for investing activites,-2733,-2896,-3377
Debt repayment,-,-,-2.152
Common stock issued,-,-9.493,17828
Net cash used privided by (used for) financing activities,-,-9.493,17826
Net change in cash,3555,-8935,9990
Cash at beginning of period,3174,10347,357.144
Cash at end of period,6729,1412,10347
Capital Expenditure,-2723,-2936,-3367
Free Cash Flow,-7829,-8966,-7826
