Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Investments in property plant and equipment,-2232,-3878,-3291,-2473
Net cash used for investing activites,-2186,-3783,-3102,-2287
Debt repayment,-,-,-89,-
Common stock issued,-,-,-,15000
Common stock repurchased,-,-,-,-941
Net cash used privided by (used for) financing activities,-,63,-89,15424
Net change in cash,-3703,-5281,-4545,11705
Cash at beginning of period,4127,7160,11705,-
Cash at end of period,424,1879,7160,11705
Capital Expenditure,-2232,-3878,-3291,-2473
Free Cash Flow,-3761,-5439,-4645,-3905
