Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-8963000,-23060000,4255000,-22488000
Depreciation & amortization,-,10960000,11150000,12359000
Change in working capital,-,10630000,-3735000,13828000
Inventory,-,-2635000,-213000,2280000
Other working capital,-,-11836000,-2093000,-3685000
Other non-cash items,-,6879000,5805000,11448000
Net cash provided by operating activites,-,3043000,7140000,10048000
Investments in property plant and equipment,-,-14879000,-9233000,-13733000
Acquisitions net,-,-23000,-99000,-3024000
Purchases of investments,-,-146000,-22000,-18000
Sales/Maturities of investments,-,807000,8725000,125000
Other investing activites,-,-69000,-360000,-275000
Net cash used for investing activites,-,-11362000,4093000,-10371000
Net change in cash,-,-5746000,4736000,-3440000
Cash at beginning of period,-,18776000,14040000,17482000
Cash at end of period,-,13030000,18776000,14040000
Operating Cash Flow,-,3043000,7140000,10048000
Capital Expenditure,-,-14879000,-9233000,-13733000
Free Cash Flow,-,-11836000,-2093000,-3685000
