Breakdown,ttm,12/31/2019,12/31/2018
Investments in property plant and equipment,-11146,-11146,-4907
Purchases of investments,-7157,-7157,-3593
Other investing activites,-,-,-13
Net cash used for investing activites,-17932,-17932,-8509
Debt repayment,-,-,-38
Common stock issued,50000,50000,40000
Common stock repurchased,-2827,-2827,-2188
Other financing activites,-729,-729,-
Net cash used privided by (used for) financing activities,46444,46444,37774
Net change in cash,-22554,-22554,24013
Cash at beginning of period,42922,42922,18834
Cash at end of period,20373,20373,42922
Capital Expenditure,-11146,-11146,-4907
Free Cash Flow,-62212,-62212,-10159
