Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,91589,91589,84613,97029,94555
Interest Expense,24983,24983,18513,15129,11509
Income Before Tax,35769,35769,34357,20648,21344
Income Tax Expense,7611,7611,6307,24374,7949
Income from Continuing Operations,28158,28158,28050,-3726,13395
Net Income,49855,49855,28532,-3726,13395
Net Income available to common shareholders,49855,49855,28532,-3726,13395
Basic EPS,-,-,1.10,-0.15,0.56
Diluted EPS,-,-,1.09,-0.15,0.55
Basic Average Shares,-,-,25947,25593,24764
Diluted Average Shares,-,-,26112,25822,25187
