Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1931000,1386000,1556656,1598581
Depreciation & amortization,-,1182000,1133012,991180
Stock based compensation,-,71000,48557,25520
Change in working capital,-,-31000,448743,-282455
Inventory,-,-12000,22733,174209
Other working capital,-,1706000,1980048,1292936
Other non-cash items,-,15000,15452,25438
Net cash provided by operating activites,-,2784000,3077034,2168930
Investments in property plant and equipment,-,-1078000,-1096986,-875994
Purchases of investments,-,-9000,-,-143400
Sales/Maturities of investments,-,205000,20808,176990
Other investing activites,-,-216000,76651,-118917
Net cash used for investing activites,-,-1092000,-997727,-959521
Net change in cash,-,1122000,1530663,459420
Cash at beginning of period,-,7606000,6075890,5616470
Cash at end of period,-,8728000,7606554,6075890
Operating Cash Flow,-,2784000,3077034,2168930
Capital Expenditure,-,-1078000,-1096986,-875994
Free Cash Flow,-,1706000,1980048,1292936
