Breakdown,ttm,12/31/2019
Net Income,-52553,-52553
Depreciation & amortization,324,324
Stock based compensation,6070,6070
Change in working capital,7123,7123
Other working capital,-39643,-39643
Net cash provided by operating activites,-39362,-39362
Investments in property plant and equipment,-281,-281
Purchases of investments,-152000,-152000
Sales/Maturities of investments,24500,24500
Net cash used for investing activites,-127781,-127781
Common stock issued,67200,67200
Net cash used privided by (used for) financing activities,127177,127177
Net change in cash,-39993,-39993
Cash at beginning of period,51963,51963
Cash at end of period,11970,11970
Operating Cash Flow,-39362,-39362
Capital Expenditure,-281,-281
Free Cash Flow,-39643,-39643
