Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Total Revenue,-1213,-2035,1699,360.991,717.75
Interest Expense,-,0.82,0.767,0.668,1.802
Income Before Tax,-1570,-2473,1285,-29.545,262.209
Income Tax Expense,5.584,5.584,3.634,-0.303,-0.777
Income from Continuing Operations,-1575,-2479,1281,-29.242,262.986
Net Income,-1575,-2479,1281,-29.242,262.986
Net Income available to common shareholders,-1575,-2479,1281,-29.242,262.986
Basic EPS,-,-0.20,0.10,-0.00,0.03
Diluted EPS,-,-0.20,0.06,-0.00,0.02
Basic Average Shares,-,12503,12492,9965,8931
Diluted Average Shares,-,12503,12492,9965,11534
