Breakdown,1/31/2019,1/31/2018,1/31/2017
Total Assets,442834,426849,426893
Liabilities,,,
Total Liabilities,44177,35200,47792
Stockholders' Equity,,,
Common Stock,7108,7108,7161
Total stockholders' equity,398657,391649,379101
Total liabilities and stockholders' equity,442834,426849,426893
