Breakdown,ttm,8/31/2018,8/31/2017,8/31/2016
Net Income,1675283,1468876,1475663,1562890
Depreciation & amortization,-,434216,189081,108552
Change in working capital,-,-121217,139688,-500727
Inventory,-,53002,19528,-
Other working capital,-,1384280,1551930,1322926
Other non-cash items,-,-93077,555,-3664
Net cash provided by operating activites,-,1600038,1614797,1370721
Investments in property plant and equipment,-,-215758,-62867,-47795
Acquisitions net,-,-,-,0
Purchases of investments,-,-120607,-2422521,-34003
Sales/Maturities of investments,-,164747,-,100000
Other investing activites,-,-12388,-54138,-12998
Net cash used for investing activites,-,-184006,-2599526,-76796
Net change in cash,-,516277,525702,988081
Cash at beginning of period,-,5436606,4910903,3922822
Cash at end of period,-,5985904,5436606,4910903
Operating Cash Flow,-,1600038,1614797,1370721
Capital Expenditure,-,-215758,-62867,-47795
Free Cash Flow,-,1384280,1551930,1322926
