Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-,-2.682,-239.496
Other investing activites,-,-4.2,-70
Net cash used for investing activites,-,-6.882,-309.496
Common stock issued,-,1.173,7171
Common stock repurchased,-,-,-641.622
Net cash used privided by (used for) financing activities,-7.461,1.173,6529
Net change in cash,-1677,-2207,3846
Cash at beginning of period,5314,6707,2860
Cash at end of period,3637,4499,6707
Capital Expenditure,-,-2.682,-239.496
Free Cash Flow,-1665,-2204,-2613
