Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,18242579,11443515,7856203,6892031
Liabilities,,,,
Total Liabilities,15772997,9987168,7051724,6245594
Stockholders' Equity,,,,
Common Stock,71500,49015,38735,36378
Retained Earnings,507950,377135,273119,214454
Accumulated other comprehensive income,17995,-4826,-1280,-1058
Total stockholders' equity,2469582,1456347,804479,646437
Total liabilities and stockholders' equity,18242579,11443515,7856203,6892031
