Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-909000,-909000,-1827000,144000,-401000
Depreciation & amortization,229000,229000,231000,247000,177000
Stock based compensation,-,-,-,-,0
Change in working capital,221000,221000,25000,-269000,-1000
Other working capital,-921000,-921000,-371000,-281000,-325000
Other non-cash items,57000,57000,31000,-465000,139000
Net cash provided by operating activites,-137000,-137000,-306000,-265000,-322000
Investments in property plant and equipment,-784000,-784000,-65000,-16000,-3000
Acquisitions net,-,-,0,-40000,-
Other investing activites,-,-,-1000,-1000,-14000
Net cash used for investing activites,-773000,-773000,-65000,-57000,-17000
Net change in cash,-283000,-283000,674000,154000,-103000
Cash at beginning of period,923000,923000,261000,112000,219000
Cash at end of period,640000,640000,935000,266000,115000
Operating Cash Flow,-137000,-137000,-306000,-265000,-322000
Capital Expenditure,-784000,-784000,-65000,-16000,-3000
Free Cash Flow,-921000,-921000,-371000,-281000,-325000
