Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-7000,-7000,133000,-171000,63000
Depreciation & amortization,583000,583000,630000,823000,809000
Change in working capital,-165000,-165000,-131000,-156000,-76000
Accounts receivable,-,-,-72000,-86000,-131000
Inventory,-67000,-67000,-9000,-67000,-48000
Other working capital,344000,344000,205000,167000,475000
Other non-cash items,236000,236000,271000,609000,292000
Net cash provided by operating activites,1047000,1047000,857000,997000,1186000
Investments in property plant and equipment,-703000,-703000,-652000,-830000,-711000
Acquisitions net,-11000,-11000,-8000,-27000,-11000
Purchases of investments,-9000,-9000,-113000,-91000,-73000
Sales/Maturities of investments,3000,3000,98000,78000,61000
Other investing activites,20000,20000,326000,-14000,4000
Net cash used for investing activites,-743000,-743000,-335000,-862000,-702000
Debt repayment,-174000,-174000,-967000,-767000,-1333000
Dividends Paid,-43000,-43000,-39000,-58000,-15000
Other financing activites,-128000,-128000,-140000,-138000,-202000
Net cash used privided by (used for) financing activities,-177000,-177000,-393000,-148000,-763000
Net change in cash,127000,127000,129000,-13000,-279000
Cash at beginning of period,329000,329000,205000,215000,484000
Cash at end of period,456000,456000,329000,205000,215000
Operating Cash Flow,1047000,1047000,857000,997000,1186000
Capital Expenditure,-703000,-703000,-652000,-830000,-711000
Free Cash Flow,344000,344000,205000,167000,475000
