Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,3578000,4184000,3914000,3718000
Depreciation & amortization,-,4185000,3794000,3752000
Change in working capital,-,516000,1081000,-182000
Inventory,-,-73000,-357000,-153000
Other working capital,-,5806000,8959000,9757000
Other non-cash items,-,811000,-281000,947000
Net cash provided by operating activites,-,10596000,9372000,10364000
Investments in property plant and equipment,-,-4790000,-413000,-607000
Acquisitions net,-,-5971000,-375000,-21000
Purchases of investments,-,-976000,-1512000,-915000
Sales/Maturities of investments,-,1718000,2214000,1432000
Other investing activites,-,-325000,-43000,222000
Net cash used for investing activites,-,-10325000,-104000,140000
Net change in cash,-,-4613000,4768000,4844000
Cash at beginning of period,-,32780000,28011000,23147000
Cash at end of period,-,28167000,32780000,28011000
Operating Cash Flow,-,10596000,9372000,10364000
Capital Expenditure,-,-4790000,-413000,-607000
Free Cash Flow,-,5806000,8959000,9757000
