Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1012025,965138,794460,687980
Liabilities,,,,
Total Liabilities,927393,884659,719568,618005
Stockholders' Equity,,,,
Common Stock,691.95,690.2,687.85,687.55
Retained Earnings,72861,65830,60679,57347
Accumulated other comprehensive income,-431.035,-452.756,-206.193,-1309
Total stockholders' equity,84632,80479,74891,69974
Total liabilities and stockholders' equity,1012025,965138,794460,687980
