Breakdown,ttm,1/31/2018,1/31/2017
Net Income,2664000,1236000,3507000
Depreciation & amortization,-,814000,946000
Change in working capital,-,-1052000,-15000
Inventory,-,587000,231000
Other working capital,-,110000,2054000
Other non-cash items,-,-76000,-588000
Net cash provided by operating activites,-,723000,3221000
Investments in property plant and equipment,-,-613000,-1167000
Other investing activites,-,-78000,-273000
Net cash used for investing activites,-,-691000,-1440000
Net change in cash,-,1434000,9464000
Cash at beginning of period,-,17309000,7845000
Cash at end of period,-,18743000,17309000
Operating Cash Flow,-,723000,3221000
Capital Expenditure,-,-613000,-1167000
Free Cash Flow,-,110000,2054000
