Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-674.256,-623.306
Net cash used for investing activites,-470.044,-623.306
Common stock issued,650,5000
Common stock repurchased,-50.225,-432.946
Net cash used privided by (used for) financing activities,599.775,4567
Net change in cash,-1134,3346
Cash at beginning of period,4080,205.999
Cash at end of period,2946,3552
Capital Expenditure,-674.256,-623.306
Free Cash Flow,-1938,-1221
