Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-45400,-44400,-40400,-21800,-20300
Acquisitions net,-,-56200,-416000,-46200,-452500
Sales/Maturities of investments,-,-,59900,-,-
Net cash used for investing activites,-9000,-100600,-396500,-68000,-472800
Debt repayment,-308700,-350000,-232200,-186700,-432800
Common stock issued,-,-,-,214700,407800
Common stock repurchased,-,-,-300,-2600,-7900
Dividends Paid,-69900,-69300,-67800,-54400,-22500
Other financing activites,-1300,-3700,-2700,-,-
Net cash used privided by (used for) financing activities,-92500,24400,277900,25000,445100
Net change in cash,-1300,4500,-30300,29600,4000
Cash at beginning of period,10700,3600,33900,4300,300
Cash at end of period,9400,8100,3600,33900,4300
Capital Expenditure,-45400,-44400,-40400,-21800,-20300
Free Cash Flow,54800,36300,47900,50800,11400
