Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-951366,-722175,-587200,-1056441
Depreciation & amortization,-,288305,259988,285527
Change in working capital,-,-96219,-423850,1478359
Inventory,-,-63526,431034,670633
Other working capital,-,-375714,-882333,93686
Other non-cash items,-,70155,-49719,-207725
Net cash provided by operating activites,-,-248859,-796913,231924
Investments in property plant and equipment,-,-126855,-85420,-138238
Purchases of investments,-,-,-,-68731
Sales/Maturities of investments,-,-,500000,501736
Other investing activites,-,6247,4510,-7947
Net cash used for investing activites,-,-114679,422150,295005
Net change in cash,-,-681731,-665604,714323
Cash at beginning of period,-,3030274,3695879,2981555
Cash at end of period,-,2348543,3030274,3695879
Operating Cash Flow,-,-248859,-796913,231924
Capital Expenditure,-,-126855,-85420,-138238
Free Cash Flow,-,-375714,-882333,93686
