Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,431232,446074,461495
Liabilities,,,
Total Liabilities,22356,28678,14318
Stockholders' Equity,,,
Common Stock,12992,13960,13960
Total stockholders' equity,408876,417396,447177
Total liabilities and stockholders' equity,431232,446074,461495
