Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,4589000,4402000,4110000,2753000
Depreciation & amortization,-,4064000,4145000,4778000
Change in working capital,-,-1302000,-155000,-1880000
Inventory,-,393000,-154000,-1212000
Other working capital,-,-343000,-1072000,-1246000
Other non-cash items,-,7000,217000,-448000
Net cash provided by operating activites,-,6964000,7351000,7435000
Investments in property plant and equipment,-,-7307000,-8423000,-8681000
Purchases of investments,-,-390000,-84000,-13000
Sales/Maturities of investments,-,311000,60000,2000
Other investing activites,-,-,107000,109000
Net cash used for investing activites,-,-7283000,-8324000,-8558000
Net change in cash,-,383000,409000,-2174000
Cash at beginning of period,-,3945000,3535000,5710000
Cash at end of period,-,4328000,3945000,3535000
Operating Cash Flow,-,6964000,7351000,7435000
Capital Expenditure,-,-7307000,-8423000,-8681000
Free Cash Flow,-,-343000,-1072000,-1246000
